,Model,Specifications,PCA Price Estimate,PCA Price SE,PCA Price Std Estimate,PCA Price Std SE,Plain Logit Price Estimate,Plain Logit Price SE,Average range of elasticity columns,Pass Sign Test?,Max discrepancy of elasticity matrix,N (consumers),J (products),PCA Average range of diversion ratios,Plain Logit Average range of diversion ratios,PCA Average HHI of diversion ratios,Plain Logit Average HHI of diversion ratios
17050306,title_USE_text,price and PC2,-0.0134869173,0.00872607414,0.0395361136,0.0173853395,0.000636133999,0.00206059,1.985640793683536,False,0.9887936363089708,286,8,0.5732084318670355,0.40453053152521246,0.4433102043200398,0.26651113201837573
17111205,resnet50_image,"price, PC1, and PC2",-0.49050762,0.15689722,0.55095792,0.21742628,-0.07711473,0.02548559,3.5999020045266894,False,2.5599097088653084,368,14,0.44223609491245436,0.20576249839996819,0.3048500572421985,0.1307237296609751
21010906,title_USE_text,"price, PC2, and PC3",-0.827836995,0.437850661,1.25518708,0.682245011,-0.0723877,0.05145577,,False,0,497,13,0.6255519210051749,0.2525676846280014,0.48578320858259644,0.16209894420427437
21011403,resnet50_image,"price, PC1, and PC3",-0.0273619,0.01698643,0.04947874,0.01629841,0.00154201,0.00588866,0.7194251384133616,False,0.9088054363931795,876,15,0.28337101603877113,0.2608203259966113,0.16582338459632748,0.14889891527599433
21012004,vgg19_image,PC1,-0.18929036,0.06563084,n/a,n/a,-0.11200323,0.03954236,1.4382540391379612,True,0,547,15,0.5402898057957471,0.2143397034144853,0.4126343627209314,0.12552313497461698
21012008,title_ST_text,PC3,-0.072128896,0.0470098053,n/a,n/a,-0.02079112,0.03189227,1.7158969491934033,True,0,518,15,0.4783172157483366,0.16167415388334982,0.3668102059311377,0.10756789764384189
21021101,title_TFIDF_text,"PC1, PC2, and PC3",-0.0495981666,0.0195946664,n/a,n/a,0.000401957952,0.00409486,2.606184515192992,True,0,649,13,0.5126509084682997,0.17097270460793096,0.4013419936079343,0.11541337675548118
23021004,title_ST_text,PC2 and PC3,-0.08061175,0.08573124,n/a,n/a,-0.02409,0.0534656,0.9746331454480325,True,0,414,15,0.37966463127226646,0.1968737773600693,0.26236932914382316,0.11379783309208599
23021309,title_ST_text,"price, PC1, PC2, and PC3",-0.88854292,0.45212256,0.53942558,0.3299325,-0.1655887,0.05918007,7.11616360805195,False,0,283,10,0.5472132482315548,0.27829345372823633,0.42989166442782334,0.1894783183120221
23021802,xception_image,"PC1, PC2, and PC3",-0.35734665,0.13925468,n/a,n/a,-0.09944614,0.06423658,3.012775233669127,True,0,454,13,0.4488264359318878,0.22138361534604173,0.32984529483286723,0.13614975437703558
23031107,title_COUNT_text,"price, PC2, and PC3",-0.69467884,0.64255417,1.37131412,1.20846985,-0.05840319,0.02233818,3.570368067497914,False,0.41032672199861814,282,10,0.4420871653002562,0.25462931090076835,0.3191290523219326,0.19272421582593852
23031904,user_reviews_ST_text,"price, PC1, PC2, and PC3",-0.218564,0.0801288,0.10399163,0.0526557,-0.0386971,0.02127469,1.3223853926726177,False,0,482,15,0.44845472134874026,0.22386974037381754,0.32902706094055617,0.12467520586766714
27040201,title_COUNT_text,PC3,0.13295971,0.06648821,n/a,n/a,0.0156097,0.0144925,10.549392964417738,False,11.688802443459332,286,4,0.9489657973881276,0.3744457491433298,0.9051495452364735,0.414564599095867
27040301,resnet50_image,"price, PC1, PC2, and PC3",0.09138003,0.02166768,0.02611944,0.02960272,0.03221491,0.01160849,3.4292827018799548,False,4.69086999702513,497,13,0.3250176216688652,0.3060179317143642,0.22027135218207455,0.17460878053597761
27060103,vgg19_image,price and PC3,0.07756595,0.0880614,0.73287476,0.56171551,-0.02815029,0.01545589,2.705838160855631,False,3.233297252117388,150,5,0.5447368421052632,0.27241300472758273,0.4349560160806112,0.3023555256376775
27070401,title_TFIDF_text,"price, PC2, and PC3",0.0122818275,0.0160466439,0.135760005,0.0403313893,0.00332785,0.00637554,1.4536808358640305,False,3.1422649977799755,424,14,0.42377106186169505,0.20821916683047248,0.31495235167779967,0.121328236804886
27100401,user_reviews_USE_text,"PC1, PC2, and PC3",0.23987331,0.139167,n/a,n/a,0.00337718,0.00654536,2.123056345957856,False,2.784666058148291,297,7,0.6180063188901207,0.29412776126362417,0.5055901875961445,0.22915949469010613
